"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337"
"1",0.0442631994339556,0,0.104933824830036,0,0.000657239023944817,0,0,0,0,1.84744759482654,0,0,0,0,0,0.413782663352623,0,0.291760432209552,0,0,0,0,0,0,0.147774309351686,0,0,0,0,0,0,0,0,0.00496187568914849,0,0,0.329682536244755,0,0,0,0,0,0.194440950662266,0,1.35616249122288,0,0,0,0.500842454930944,0,0.145119064022089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714183301404249,0,0,0.531093693891669,0,0,0,0,0.00365045117824356,0,0,0.148533730769562,0,0,0,0,0.0122477219360516,0,0.115969767523594,0,0,0,0.109798920012141,0,0,0,0.0933608820715217,0,0,0,0,0.0438739000895343,0,0,0.37727689096597,0,0,0,0,0.095175978806513,0,0,0,0,0,0.534793032532486,0,0,0,0,0,0,0,0,0,0,0.133066300690228,0.0178969296853831,0,0.464913701889509,0,0,0,0,0,0,0,0,1.17164618457794,0.10340170328178,0,0,0.456335578606812,0,0,0,0,0,0.224319443585204,0.0329180835572053,0,0.186916120036206,0.137895590850067,0,1.0550617174206,0.43360480121409,0,0.482277875428421,0.130230104832428,0,0.395528601897423,0,0,0,0,0,1.20693702840098,0,0,0,0,0,0,0,0.0402873579479025,0,0,0,0,0,0,0,1.14719070508355,0,0,0,0,0,0.461872641589388,0,0.130698865683063,0,0,0.505581729504998,0,0.315878153498485,0,0,0,0,0,0,0,0,1.89914058155313,0,0,0,0.988403334801491,0,0,0,0,0,0.333141935056395,0.119728193566017,0,0,0,0,0,0,0.0249739203261989,0.248126799264266,0,0,0,0,0.117782764601139,0.760678274059323,0.112000965169008,0.0234399405172921,0.535410771819843,0,0,0,0.0817588504918352,0,0,0,0,0,0.789714791998342,0,0.0362182674159495,0,0,0,0,0,0,0,0,0.00539904314585072,0,0,0,0,0,0,0,0.0193161287746375,0,0,0,0,0,0.287917348687543,0.0502498004853183,0,0,0.21749785498867,0.478863160036342,0,0,0,0,0,0,0,0,0,0.506938873864727,0,0,0,0.280707643694727,0,0,0,0,0.303713540439434,0.129389403766316,0,0.178826753558816,0.316720608669188,0,0,0,0.237827397258737,0.315921069454678,0,0,0,0.0020372354693044,0,0,0,0,0.149658604898983,0,0,0,0,0.0411841365449059,0,0,0,0,0,0,0.0194390062087638,0,0,0,0.129082220983371,0,0,0,0,0,0,0.326815852031759,0,0,0,0.234140378465742,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441408151241962,0.106825716069827,0,0,0.000857674279417876,0,0,0,0,0,0,0,0,0,0.0066169474344366,0,0,0.34700497135812,0,0.403596859033037,0,0,0,0.104893711324887,0,0,0.533790897919104,0,0,0.278804902815212,0,0.276650539990083,0,0,0,0,0,0,0,0.0701232369720857,0,0,0,0,0,0,0.0929183613177739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819555335590612,0,0,0.278271870499833,0,0,0,0,0.4321151541978,0,0,0,0,0,0,0,0.536799299936934,0,0,0,0,0,0,0,0,0.832472418985971,0,0,0,0,0,0.453323036196774,0,0,0.0804495650421402,0,0,0.052221177084586,0,1.57535102544846,0,0,0,0,0.247282935938877,0,1.7432001361073,0,0,0,0,0.659531966339469,0,0,0,0.365308084414551,0,0,0,0,0.0269454834871935,0.55158917340934,0,0,0,0.0108682272409139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721811139648322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178552925243912,0,0,0.0192539410000634,0.204239917302045,0.177693486749198,0,0.729145785817894,0,0,0,0,0,0,0,0,0.268775421045739,0,0.117839613956817,0.0580645279098199,1.19728042318257,0,0,0,0,0,0,0,0.264536951360555,0,0,0,0,0.143645312103888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545087573561544,0,0,0,0,0,0.396490723779098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415696358563196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34861213250316,0,0,0,0,0,0,0,0,0,0,0,0.185240636330771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.558630694745097,0,0,0.125128271892537,0,0,0.411927034931877,0.201547661835298,0,0.541424091294423,0,0.103880512122838,0,0,0.0485578585806615,0.300177511007918,0,0,0.167070174390029,0,0.797494664846819,0,0.0853867057221065,0.020585172140243,0,0,0,0.0361152148738254,0,0,0,0,0.0178869328864541,0,0,0,0.313749136808493,0,0,0,0,0,0.294034675227561,0,0.00434581601152479,0,0,0,0,0,0,0,0,0.319432717419002,0,0,0,0,0,0.620709537898578,0,0,0,0,0.689761087681123,0,0,0,0.821037928073996,0,0,0.248068863639418,0.0162696453338787,0,0,0,0.494765795767309,0,1.95673246914139,0.0822550587893997,0.311768659669499,0.706223787023245,1.21847657969186,0.546580301865334,0,0,0,0,0,0,0,0,0,0.50314836718762,0,0,0,0,0,0,0.323962671677242,0,0,0.301234340196319,0,0,0,0,0.0214118535508086,0,0,0,0,0,0,0,0.265434284878203,0,0,0,0,0,0,0,0,0,0,0,0,0.00736163502317302,0,0,0.168264166618533,0,0,0,0,0.149018595778384,0,0,0,0,0,0,0,0,0,0,0,0.309380087601521,0,0,0,0,0,0.27998215401516,0,0,0.642587635123426,0.837911320794954,1.19210921436435,0,0,0,0,0,0,0,0,0,0.781866895931993,0.28123479080142,0,0,0,0,0,0.322448161273123,0,0,0,0,0,0.243615699612094,0,0.0815014102973236,0,0,0,0.170661537909378,0,0,0,0,0,0,0,0.0667941891129695,0,0,0,0,0,0.00893747413598477,0,0,0,0,0.394028517188262,0,0,0,0,0,0,0.296208841063779,0,0,0.0161709153795408,0,0,0.12449225119654,0,0,0,0,0,0.0552196619477326,0,0,0,0,0,0,0,0,0,0,0,0,0.0679853314124602,0.612743535089889,0,0.209476969515528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730975792955219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19129057093077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600636138922215,0,5.65577423440387e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0.0482051893253315,0,0.0785151393190456,0,0,0,0.0472852612179527,0.124099447438379,0,0,0,0,0,0.152727463460136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114987745006533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045317949247384,0.0190131533994748,0,0,0,0,0,0,0,0,0.10661997572819,0.0196111842598195,0,0,0,0,0,0,0,0.0827311173972802,0,0,0,0,0.0211463688405731,0,0,0,0,0,0,0,0,0,0,0,0.0265364258736746,0,0,0,0,0,0,0,0,0,0.0559545651111866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45575809113847,0,0,0,0.0313854083074339,0,0,0,0,0.643837582181859,0,0,0,0.0630314223153455,0,0,0,0,0,0,0,0,0.0113576311842784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696324620749255,0,0,0,0,0.048915728887522,0,0,0,0,0,0,1.89694504869176,0,0,0,0,0,0,0,0,0,0.0316171377688494,0.0199119709153707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953887556403146,0,0,0.058369302772255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173919216624299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224570617941682,0,0,1.03521052670956,0,0,0,0,0,0.0504402979390807,0,0,0.155982421148764,0,0,0,0,0,0.23680988336398,0,0,0.0746526566918191,0,0.0088425554003703,0,0.0339798972393292,0,0,0,0,0,0,0,0.0622457488005159,0,0,0,0,0,0,0,0,0.0650735637045629,0,0,0,0,0,0,0,0,0,0,0.185798402586439,0,0,0,0.145018000854426,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.0026175973881854,0,0,0,0,0.0511888257051814,0,0.0510855307385726,0,0,0,0,0,0,0,0,0,0,0,0.0280834106716149,0,0,0,0,0,0,0,0,0,0,0,0.0222910600953475,0.0837891768406433,0,0,0,0,0,0.00168146288669906,0.013847715492013,0,0,0.461632669689156,0,0.0664722706702177,0,0,0.132902253275241,0,0,0,0,0,0,0,0.0748996052773882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000967562594366317,0,0,0.0952281696568596,0,0,0,0,0,0.00633141574688931,0,0,0,0,0,0,0,0,0,0,1.80387430238801,0,0,0,0,0.0149939549545971,0,0,0,0,0,0,0,0,0,0,0,0.0579502224485477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123305014872528,0,0.0671169416269681,0.0105801342344612,0,0,0,0,0,0,0,0,0.00346586330656345,0,0,0,0,0,0,0,0.032522066872753,0,0,0,0,0,0,0.0341022289495754,0,0,0,0,0,0,0.00362385776823901,0,0.0259803209183412,0,0,0,0,0,0.393939377152635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726805061637459,0,0,1.02514748601027,0,0,0,0,0,0,0,0,0,0,0,0,0.000991454071361814,0,0,0.256633010804802,0,0,0,0,0,0,0,0,0,0,0.0378376094352663,0,0,0,0,0,0,0.0402084528639062,0,0,0,0,0,0,0.00736955393456839,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232097440603455,1.08147371842112,0,0.0385697465592699,0,0.0171595501839361,0,0,0,0.0147058478380847,0,0,0.652218278590375,0.0548075106008801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976646780390554,0,0,0,0,0,0,0.0280324015054047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136892011445996,0,0,0.111222896449112,0.0707517627709285,0,0,0.024502543409813,0,0,0,0,0,0
"6",0,0.415817381726651,0.334417606399049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185703107966839,0,1.14864935754582,0.339355886276245,2.36818469635673,0,0,0,0,0,0.348961455641141,0,0,0,0,0.219426737449187,0,0,0,0,0,0.392203632751812,0,0,0,0.386013598693596,0.954648257895911,0.0996644641221727,0,0,0.740120147091984,0,0,0.0511310425091422,0.0683823352636972,0,0,0,0,0,0,0,0,0.65885115066469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286492534908664,0,0,0.400354252696452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721345665317866,0,0,0,0,0,0,0.176129484689382,0.678550409604286,0,0,0,0,0,0.337904466830779,0,0,0,0,0,0,0,0,0,0,0,0,1.5081856366728,0,0.28516270615779,0,0.746143791499201,0,0,0.319843874990916,0,0,0,0,0.501749603751009,0.501687243113848,0,0,0,0,0,0,0.0339183242055101,0,0.900331708466563,0.292074278062004,0.378718942304687,0,0,0,0,0,0,0,0,0.0426740941740686,0,0,0,0,0,0,0,0,0,0,0.178009763835825,0,0,0,0.153010205830061,0,0.164746491453972,0,0,0.0246278452851257,0,0,0,0,0,0,0,0,0,0,0.114476278398369,0.195671135636944,0.0121712045936403,0.163286847087646,0.284273348492081,0,0,0,1.22083293976322,0,0,0,0,0,0,0.349189199142366,0,0,0,0.0981436032174264,0,0,0,0,0,0,0,0,0.126871938943447,0.292405390628091,0,0,0,0.501443883057546,0.359321457408669,0,0,0,0.0150877637913705,0.462100989195515,0,0.218073506294106,0,0,0.148143814768585,0,0,0.867166964013411,0,0,0,0,0,0,0,0,0.162055643421277,0,0,0,0,0.463224298011885,0,0,0,0,0.0843832371371113,0.460845036718541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84568567162317,0,0,0.173834139328079,0,0,0,0.286981457809692,0,0,0.435227081461395,0,0,0,0,0,0,0,0,0,0,0.117890531856544,0,0,0,0,0,0.394071064766391,0,0,0.051068681810508,0,0.357444988745362,0,0,0,0,0,0.0376190277516449,0,0,0,0,0,0
"7",0,0,0,0,0,1.92495629057305,0,0,0,0,0.15606926287323,0,0,0,0,0,0,0,0.813080816301948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08173735144381,0,0.166800255219648,0,0,0,0,0,0,0.534991488214015,0,0,0.172797354685717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35936439109657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91977277187583,0,0.969433669512802,0,0,0.280901947875492,0,0,1.27235419609048,0,0,1.01061953193552,0,0,0,0,0,0,0.532007143125896,0,0,0,0,0,0,0,0,0,0,0.184648868336854,0,0,0,0.110899956777929,0,0,0,0.336729327203683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325364113063394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09408812922443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930966679856266,0,0,0,0,0,0.0655834766814779,0,0,0,0.286138650753257,0,0,0,0.221589857775573,0.143376916784715,0,0,0,0,0,0,0,0,0,0,0,3.33889421410662,0,0,1.67375941107408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852576396765531,0,0,0,0,0,0,0,0,0,0,0,0,2.52268520170374,0,0,0,0,0,3.20237775418529,0,0,0,0,0,0,0,0.610547891701659,0,0,0,0,1.36769998252468,0,0,0,0,1.20528916573038,0,1.19804361486828,0.835230484510723,0,0,0,0,0,0,0,0,0,0,0,0.14758131011622,0,1.28831841832805,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,1.34887704751243,0,0,0.167607418976122,2.65372398636219,0,0,0,0.976813607816176,0,0,0,0,0,0,0,1.11382016479566,0,0,0,0.454666519793843,0,0,1.46670235839797,0.541858083380432,2.41441719418945,0,0,0,0,0.131488167101495,0,0.129358617920549,0,0,0,0.0160112201914427,0,0,0,0,1.73099495250934,0,7.12760924735898,0,0,0,0,0.887847784651137,0,0,0,0,1.95749110993202,0,0.682304127153845,0,0,0,0,0,0.39416510000167,0,0,0,1.3462318010734,0,0,0,0,0,0.112596194832974,0.121081842069906,0,0,0,0,0,0.163836611801554,0.0226106023537052,0,0,0,0,0,0.614463336660723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10047631179426,0,0,0,0,0,0,0,0,0,0,1.29943086212076,0,0.342644601449457,0,0,0,0,0,0,0,0.806409294060091,0,0,0,1.24599843230272,0,0,0.163784825499277,0,1.17621677852148,0,0,0,0,0,0,0,0,1.33001141051444,0,0,0,0,0.457963010966636,0,1.3219045764172,0,0,0,0,0,0,0,0,0,0.173737691090466,0,0,0,0,0,0,0,0,0,0,0,0,1.7797995257167,0,0,0,0,0.300341953266447,0.0941450096672287,0,0,0,0,0,0,0.337792650534369,0,0,0,0,0,0,0,0.167410328216221,0.460256540461253,0.695526211136696,0.658341929920603,0,0,0,0,0,0,0,0,0,2.37044121860968,0,0,0,0,0,0.103409734920731,0,0,0,3.2829988869362,0,0,0,0,0,0.276357170019414,0,0,0,0.606048397889478,0,0,0,0,0,0,0.749743530915208,0.681737150959312,0,0,1.44280283625676,0.292942867773531,0.559961671691118,0,0,0,0,0.0868463044399422,0,0,0,0,0,0,0,5.65397115370327,0,0,0,0,0,0,0.132321102519504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136784807694719,0,0,0,1.59552112448981,0,0,0.901904201676644,0,0,0,0.0462566154912316,0,0,0.22355930150425,0.139439828715013,6.48938080512517,0,0.103564581090114,0,0,0,0,0,0,0,0,3.02679117442744,0.0350408806447181,0,0.918296060346446,0,0,0,0,0.0830195792300165,0.325218692691395,0,0,0.241946327480285,0,5.96742348009459,0,0.954931546335492,0.14464908938411,1.10978059674492,0.646989071486208,0,0,0,0.338160263056603,0,0
"9",0.0954978583322321,0,0,0,0,0,0,0,0,0,0,0.0502183537370595,0,0,0,0,0,0,0,0,0,0,0.871146360941372,0,0,0,0.0929516304957034,0,0.501090417237314,0,0.574263560405725,0,0,0,0,0,0.189426670002567,0,0,0,0,0.757313240415479,0.256016713892071,0,0.104077137103134,0,0,0.413452338630103,0,0,0,0,0,0.168219242015721,0,0.890093548688943,0,0,0,0,0,0,0,0,0.324280444097598,0.138607583063708,0.230325323005321,0,0.940729555532307,0,0,0,0,0,0,0,0,0.594459017977764,0,0,0,0,0.172128096869905,0.105068799626696,0.0515940561727792,0,0,0,0,0.127447128365499,0,0,0,0,0,0,0,0,0,0.697129721400532,0.0175407001008153,0,0,0,0,0.578101218780836,0,0,0,0.136397557104392,0,0,0,0,0,0,0,0,0,0,0,0,0.268702490555283,0.0989775487062791,0,0.123904975473823,0,0,0,0,0,0,0,0,0,0,0,0.124238920030795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32904623887107,0,0,0,0.209299594397646,0,0,0,0,1.03959903139596,0.00251744535663085,0,0,0,0,0,0,0.139767180319523,0,0,0,0,0,0,0,0,0,0,0,0,1.34081520186155,0,0,0,0.0372476966813253,0,0,0.234658575737529,0,0,0,0,0,0,0.15096804168069,0,0.339478560665329,0,0,0,0,0,0,0.114389323356869,0,0,0,0,0,0,0,0,0.0838364462791804,0,0.714748483232382,0,0.000212450497103175,0,0,0,0,0,0,0.304720168004372,0.144172394172748,0.150421121506101,0,0,0,0,0,0.268724979989261,0,0,0,0,0.0799119858512043,0.189608816207577,0.313551653865897,0,0,0,0,0,0,0.810909551072015,0,0,0,0,0,0.110566819839746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142315930624528,0,0,0,0,0,0,0,0,0,1.00180797703144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385132913819019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294220576382275,0,0.120009094185689,0,0,0,0,0,0,0.613102892562219,0,0,0,0,0,0,0,0,0
"10",0,0,0,0.0905936483574571,0,0,0,0.0849097689591841,0.211271602446603,0,0,0,0.335141645643443,0,0,0,0,0.445440554303027,0,0,0,1.32959935643137,0,0,0,0,0,0.319450705102278,0,0.402642630490086,0,0.338217360385728,0,0,0.382529177504873,0,0,0.0956926649485676,0.0595111468595872,0,0.515883223869678,0,0,0.179345071865663,0.0842163763666215,0,0,0,0,0,0,0,0,0,0,0.0496728420242608,0,0,0,0,0,0.3407509898614,0,0,0.180182136691692,0,0.645736443086807,0,0.422957271366935,0,0,0,0,0.0785968875919526,0,0,0.0570961575236299,0,0,0,0,0.122714745937112,0,0.476220107067462,0,0,0.450734404941601,0,0,0,0,0.100560972026363,0,0,0,0,0,0,0,0.571484172170809,0,0,0,0,0,0,0,0,0.0876611735818782,0,0,0,0,0,0,0.420307816444808,0,0,0,0,0,0,0.223184023359265,0.436707968987748,0.00673198972361153,0,0.463710138957612,0,0,0,0,0,0,0,0,0,0,0.140273195159749,0,0.664456490524058,0.819973217038718,0,0.74507559632682,0,0.0621932741638015,0,0,0.0890165185052891,0.269403333075421,0,0,0,0.527582143847988,0.106544954179092,0,0,0,0,0.0976204181824542,0,0,0,0.538398945698124,0,0,0,0,0.79207706057377,0,0,0,0.0250855378871679,0,0,0,0,0,0,0.231897936597807,0,0,0,0,0.0667234820368287,0,0,0,0.0594058684347533,0,0,0,0,0,0,0,0,0,0,0.390094547066478,0,0,0.127122241962647,0,0,0.089070977515387,0,0.0422669806942717,0,0,0,0.555343858372028,0,0,0,0,0.360175041579032,0,0,0.0258876337409127,0,0,0,0,0.0142957989780836,0.0804119758883031,0.068214401413078,0.0140304236404115,0.56054701566898,0,1.12366966494232,0,0.161177896181841,0,0,0.496033502890452,0,0,0.126565627327691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166288821786702,0,0,0,0,0,0.0400820345962201,0.215893269784605,0,0.776876924645748,0,0,0,0.463028758660232,0,0,0,0,0.438443778607239,0,0,0,0,0.167252241767076,0,0,0,0,0,0,0,0.665375922781661,0,0,0,0,0,0,0,0,0,0,0,0.0684773010974001,0,0,0,0,0,0,0.401522728020992,0,0,0,0,0.249900171430426,0,0,0.325710635424126,0,0.00327371497027987,0,0.0630107101281928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
