"","x"
"1","ISG15"
"2","TNFRSF18"
"3","TNFRSF4"
"4","MIB2"
"5","FAM213B"
"6","SMIM1"
"7","RBP7"
"8","DDOST"
"9","ECE1"
"10","ID3"
"11","RPL11"
"12","PITHD1"
"13","FUCA1"
"14","NIPAL3"
"15","RCAN3"
"16","C1orf63"
"17","LDLRAP1"
"18","SH3BGRL3"
"19","CD52"
"20","ZNF683"
"21","WASF2"
"22","IFI6"
"23","LAPTM5"
"24","PTP4A2"
"25","CCDC28B"
"26","MARCKSL1"
"27","YARS"
"28","PHC2"
"29","LSM10"
"30","MEAF6"
"31","SNIP1"
"32","GNL2"
"33","PPT1"
"34","YBX1"
"35","CCDC23"
"36","SLC2A1"
"37","ELOVL1"
"38","ATP6V0B"
"39","DMAP1"
"40","RPS8"
"41","PLK3"
"42","TESK2"
"43","PRDX1"
"44","GPBP1L1"
"45","LRRC41"
"46","PDZK1IP1"
"47","RNF11"
"48","OSBPL9"
"49","TMEM59"
"50","JUN"
"51","GADD45A"
"52","ZZZ3"
"53","DNAJB4"
"54","BCL10"
"55","GBP1"
"56","GBP5"
"57","RP5.943J3.2"
"58","RPAP2"
"59","RPL5"
"60","CCDC18"
"61","SLC30A7"
"62","DPH5"
"63","S1PR1"
"64","GPSM2"
"65","GNAI3"
"66","C1orf162"
"67","SIKE1"
"68","TSPAN2"
"69","CD58"
"70","CD2"
"71","FAM46C"
"72","TXNIP"
"73","ENSA"
"74","CTSS"
"75","MLLT11"
"76","SELENBP1"
"77","S100A10"
"78","S100A11"
"79","S100A9"
"80","S100A12"
"81","S100A8"
"82","S100A6"
"83","S100A4"
"84","JTB"
"85","RPS27"
"86","SH2D2A"
"87","CD48"
"88","FCER1G"
"89","HSPA6"
"90","FCGR3A"
"91","SH2D1B"
"92","TMCO1"
"93","CD247"
"94","CREG1"
"95","XCL2"
"96","XCL1"
"97","SELL"
"98","PIGC"
"99","FASLG"
"100","PRDX6"
"101","CACYBP"
"102","ABL2"
"103","GLUL"
"104","C1orf21"
"105","IVNS1ABP"
"106","RGS18"
"107","RGS1"
"108","RGS2"
"109","TROVE2"
"110","PTPRC"
"111","KDM5B"
"112","ADIPOR1"
"113","TMEM183A"
"114","YOD1"
"115","G0S2"
"116","IARS2"
"117","HLX"
"118","DUSP10"
"119","FAM177B"
"120","C1orf35"
"121","GUK1"
"122","RAB4A"
"123","COA6"
