"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337"
"1",0,0.0271997854095272,0,0.0389877186490259,0,0,0,0.0220945353903358,0.0813184288258469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369540700856049,0,0,0,0.132449880149775,0,0.0240696618744038,0,0,0,0,0,0,0,0,0.12078393810654,0,0,0,0,0,0.279904953415345,0,0.26416128842502,0.307386714111658,0.0216044002673341,0,0,0,0,0.624945333315234,0,0,0,0,0,0,0,0,0,0,0,0,0.0383013973005258,0,0,0,0,0.310466219707063,0,0.22709571205482,0.116187933473479,0,0,0,0,0,0,0.157151170334191,0,0.498517096667302,0.411843204468551,0,0,0.357924001985473,0,0,0,0,0,0,0,0.0253230087723066,0,0,0.0881431003221182,0,0,0,0,0,0,0,0.477349261503362,0,0.0423413110522775,0,0,0,0,0,0,0.0852251647033905,0,0,0,0.195355029468018,0.0569917789868931,0,0,0,0,0,0,0,0,0,0,0.411395097597123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690490148831262,0,0.00559078641394067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350645233251611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146069905472367,0,0,0.0848618048426125,0,0,0,0,0,0,0,0,0.14622221496939,0,0.176385239185154,0,0,0,0,0,0,0,0.0308655669732822,0.0502078190820828,0,0,0.189215206996971,0,0.224300378542852,0.480125727031018,0,0,0,0,0,0,0,0,0,0,0.381019899260076,0,0,0.658887047901979,0,0,0,0,0,0,0,0,0.229138312617831,0.087859862118693,0,0,0,0.0751042698499946,0,0,0,0.061532679682298,0,0,0.362635246819131,0,0,0,0,0,0,0,0.0257221831878496,0,0,0.455327234717701,0,0,0.656567396545403,0,0.00995239490466878,0,0,0,0,0,0,0,0,0,0,0.201242171560283,0,0,0,0,0,0,0,0,0,0,0,0,0.297943333106532,0.220249321636696,0,0,0,0.204033464025062,0.380722780828706,0,0.03346099052963,0.0938324471046187,0.2601740176523,0,0,0,0,0,0.256363815102216,0,0,0,0,0,0,0,0.217284064921176,0.0797936779850628,0,0,0,0.354151142219409,0,0,0.24628798714897,0,0,0.0409995754338896,0,0,0,0
"2",0,0,0,0,0,0,0,0.237619521644015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344063778146095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612214762644884,0,0,0,0,0,0.538815592196372,0.177458050412781,0,0,0,0,0,0,0,0,0,0,0,0,0.217021125551057,0,0.576276972472168,0,0,0,0,1.32724529579504,0.102584916117744,0,0.0153419843311766,0,0,0,0,0,0,0,0,0,0.225321047668477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111337623853965,0,0,0,0,0,0,0,0.299938487170911,0.138827701766088,0.0964181971702976,0,0,0,0,0,0,0.30204632262351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24140087793265,0,0,0,0,0,0,0.465266671564939,0,0,0,0,0,0,0,0,0,1.27106198402767,0,0,0,0.417966313581843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6926318877846,0,0.208791039509115,0,0,0,0.400803113210727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141739939211076,0.0495324179935294,0,0,0.645606126789118,0,0,0,0,0,0,0.456390567995871,0,0.226222944085729,0.132170828779729,0,0.457701709212821,0,0,0.483384684753842,0,0,0,0,0,0.382755864927274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884835641665049,0,0,0,0,0,0,0,0.26075529860452,0,0,0,0,0.247632416955687,0,0,0,0.70704972745751,0,0,1.46273475840344,0,0.76345915680611,0.104474103291281,0,0,0,0,0.339747119918562,0,0,2.00845932267029,0,0,0,0.615463200067525,0.0833545954788446,0,0,0,0,0,0,0.310893833987337,0,0.200558027849727,0,0.422350347404275,0,0.438693990750443,0,0,0,0,0,0,0,0,0,0,0,0,0.0243368037822115,0,0,0,0.183272083987125,1.5339363024871,0,0.0382128207785583,0,0,0,0,0,0.744199461037448,0,0.0952731457530023,0.936215198007397,0,0.242465552073562,0.344029031926857,0,0,0,0,0.598053067716556,0,0.738168711570437,1.2771100836161,0,0,1.26761240242764,0,0,0.395802619557394,0,0.235615631682462,0,0
"3",0,0,0,0,0,0,0,0,0,0,0.0296103553006091,0,0.146850279388757,0,0,0,0,0,0,0,0,0,0,0,0,1.54700776805642,0,0,0,0,0,0.0168060769809283,0,0.135970573987181,0,0,0,0,0,0.163462755607808,0.0167115768281851,0,0,0,0,0,0,0,0,0.132305473923648,0,0,0,0,0,0,0,0.00640678288309785,0.021354021664835,0,0.162355515247173,0,0,0,0,0.88337115990917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141409147569154,0,0,0,0,0.0185091772664307,0,0,0,0,0,0,0,0.506129784552426,0,0,0,0,0,0,0.133165037554873,0,0,0.260695276388617,0,0.152793127248701,0,0,0,0,0.135474562810903,0,0,0,0.166536596332583,0,0,0,0,0.931385335174707,0.0900762374121923,0,0.204162395947522,0,0,0.115956752344968,0,0,0,0.0328574724699326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134530855894184,0,0,0,0,0,0,0,0.410302064266653,0.490614804010454,0,0,0,0,0,0,0.226446846081605,0.712436524129637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538557933501069,0.959842231368563,0,0,0,0,0.164050304488328,0,0,0,0,0.276455231613102,0,0,0,0,0,0,0,0.0632427827356286,0,0.622176447364362,0.00840402806296594,0,0,0.296576080671231,0,0.0810053316073483,0,0,0,0.0924975253002862,0,0,0,0,0,0,0,0,0.00627013529447713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256318970624054,0.970792115021956,0.342173239314052,0,0.0224448076794197,0,0,0,0,0.144232597471299,0,0,0,0,0,0,0,0,0,0,0,0,1.68444728084103e-05,0.0856582024449157,0,0,0,0.0222558088411481,0,0,0.267375974783498,0,0,0,0.0341364244415174,0,0,0,0.254301247066337,0,0,0,0,0.287144128664127,0,0.0127212551777831,0,0,0.142220918255101,0,0,0.74629856214553,0,0,0,0,0,0.111314335621861,0,0.33097801784659,0.233064109733634,0,0.243128622986404,0,0.42353813496013,0.271698138790115,0,0.153254291318112,0.00584117375010212,0,0,0,0,0.0610156880498208,0,0.137870466623254,0,0,0,0,0,0.434264398027696,0,0.153066275986572,0.216657355989114,0,0
"4",0,0,0.240008304198296,0,0.501735896623493,0,0,0,0,0,0.0531281665365814,0,0,0,0,0,0,0.108014611520028,0,0,0.258946712870749,0,1.28624217067489,0,0,0,0,0,0.704821525870066,0,0,0,0,0,0.970236534859205,0,0,0.190775959750169,0,0,2.64955319037388,0,0.214809206583924,0,0,0,0,0,0,0,0,0,0,0.891298065029946,0,0,0,0,0.730353505732972,0,0,0,0,0,0.0453794348764203,0.295073841860798,0,0,0,0,0,0.21462442108432,0.128365406520836,0,0,0,0,0.426253941074095,0,0,0,0.368946246443039,0,0,0.541599361596555,0.707926603582991,0,0,0,0,0,0,0,0.774039849971481,0,0,0,0,0,0,0,0,0,1.12959000215104,1.18280550891028,0,0,0,0,0,0,0,0.732458218182136,0,0.0569991828457954,0,0.0534793807619062,0,0,0.146051477713227,0,0.236491877690338,0,0,0,0,0,0,0,0.705214495775931,0,0.921453615181444,0,0,0,0,0,0,0,0,0.578987359256564,0,0,0,0.887191773406788,0,0,0.729588224172565,0,0,0,0,0,0,0,0.759577525921468,0,0.575605487886149,0,0.214361257025408,0,0,0.357411453217165,0,0,0,0,0,1.33320609069048,0,0,0.575475899932747,0.303514415543496,0,0,0,0,0.912471248028409,0,1.0657891830181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235671069168643,0,0,0,0,0,0.29502511985156,0,0.543020083405695,0,0,1.12490792206694,0,0,0,0,0,0,0,0,0,0.149674062769664,0,0,0.817473177508889,0,0,0.194013722509067,0.741558370267373,0,0.124698889188934,0.0299219190122577,0,0.326423536474623,0.0961397444539386,0,0,0,0,0,0,0,0,1.65649324323482,0.44122627308292,0,2.20535328565916,0,0.558638387154171,0,0,1.45066138566643,0.39488618522009,1.17308075089125,0,0,0.961996428906778,0,0,0,0,0,0.459489628803133,2.96373442250007,0,0,0,0,3.19333392503585,0,0.1898448204283,0,0,0,0,0.521760568571607,0,0.160941919607702,0,0,0,0,3.60270673138722,0.20680884540492,0.508530957194227,0.644709180410757,0,0,0,0,1.10196220661121,0,0,0.47329030134223,0.720589930973802,0,0,0,0,0,0,0,0,0,0,0.488813603700027,0.0459330590104609,0,0,0,0,0,0.451217248051597,0.908242448673887,0,0.00202799029243819,0,0,0,0,0.30726710060096,0,0.256523220735624,0.667704590823012,0,0,0,0,0,0.0228653678558004,0,0,0,0,0,0,0,0,0,0,0.281276822032925,0,0,0.0273562598338233
"5",0,0,0,0,0,1.72003201905306,0,0.00553502381026712,0,0,0,0,0,0,0,0.631199497529317,0.591596225718945,0,0,0,0,0,0,0,0,0,0,0.074736872534364,0,0,0,0.275976217481715,0,0,0,0,0,0.33423462264603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345756015380238,0,0,0,0,0,0,0.402059580377052,0,0,0,0.536364599962332,0,0.108753669856718,0.167454970713056,0,0,0,2.94442770658049,0,0.33938130831031,0,0,0,0.365761839047111,0,0,0.450684096354551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573279859081493,0,0,0,0,0,0,0,0.553582885949911,5.35917299786831,0,0,0,0,0.0116945422062187,0.107561135313178,0,0.960302639887539,0,0,0,0,0,0.287199231737964,0,0,0.322757086019127,0,0,0,0,0,0,0,0,0,0,0,0,0.155030459757167,0.285882439189926,0.134300846352986,0,0.0763716080738343,4.5957436251339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911033381735704,0,0.145161280086334,0,0,0,10.7421690430463,0.24453113853571,0,0,0,0,0,0,0,0.0321201991221687,0,0,0,0.367613239459066,0,0,0,0,0.14075451196025,0,0,0,0,0,0,0,0,0.351590395295072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977856679176679,0,0,0,0,0,0,0,0,1.58930977975385,0.126771637713806,0.100100328952804,0,0,0,0,0,7.1715914647112,14.8045381367153,0.0577270417669232,0,0.010249060607864,0.0136189773921162,0.353803421336325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912705314111374,0,0,0,0,0,0,0,0,0.000523604052175867,0,0,0,0,0,0,0,0,0.609847769276109,0.0593903602478916,0,0,0,0,0,0,0,0,0.203138083070516,0,0,0.0504615448337405,0,0,0,0.594991515452888,0,0,0.189890703643793,0,0,0,0,0,0.221776314071835,0,0,0,0.127006335960148,0,0,0,0,0,0,0,0.546140333634732,0.0862916460525318,0.156946911824007,0,0,0.31679660547997,0.246586160252757,0.180781477459414,0.0608472307391077,0,0,0,0,0,0,0,0,0,0,0.108816709542265,0.207147886761154,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137849552597334,0,0,0,0,0.109707325040029,0,0,0,0,0,0,0,0,0,0.33182438815691,0.220578401978331,0,0,0,0.125740628787827,0,0,0,0,0,0,0,0,0,0,0,0.260690527308441,0.5589297540456,0,0,0,0,0,0.749050497582543,0,0.0511944063296935,0,0,0.0315030084266646,0,0,0,0,0,0,0,0,0,0,0.273809921755261,0,0.177191286314802,0,0,0,0,0,0,0,0,0,0,0,0,0.110264261567271,0,0,0,0,0,0,0,0,0,0,0,0.23649551516684,0,0,0.728261833950914,0,0.0832939096816504,0,0.301067471320405,0,0,0,0,0,0.0767242105083348,0,1.01415829494352,0,0,0.233296743419167,0,0,0,0,0,0.154294159605894,0.00612407058821979,0.197531274090319,0,0,0,0,0,0,0,0.909578098402735,0.394570034113107,0,0,0,0,0,0.0942106065901487,0,0,0,0.0208171982898738,0,0,0,0,0,0,0.57059169491473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499354647413833,0,0,0,0,0,0.289519009972118,0,0,0,0,0,0,0,0,0,0,0.630423780979874,0,0,0,0,0,0,0,0,0,0,0.022000883204579,0.122577090988101,0,0,0,0,0,0,0,0,0.00427207340068755,0,0.24347893900481,0,0,0,0,0,0,0,0,0,0,0,0,0.117859684587624,0,0,0.231563854747326,0.0579008714013252,0,0,0,0,0,0,0,0,0,0,0.781123225196413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343501365241796,0.0991280735736163,0,0,0,0,0,0,0,0,0,0,0,0.744280912738521,0.0113942321867993,0,0,0.299684618284257,0.368705776431881,0,0,0.205301668321874,0,0.0301000668166983,0.299344668435822,0,0,0,0.437210714174397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948360733496026,0,0,0.224061712395944,0,0,0,0,0,0,0,0,0.145269425598581,0.609287639365535,0,0,0,0,0,0,0,0.522261181699658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.294827169924906,0,0,0,0.0407383394280879,0,0,0,0,0,0,0,0,0,0,1.82252325569735,0,0.343336903526971,0,0,4.288621691508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84580211303022,0,0,5.2501528226765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36236802394002,0,0,0,0.222344052095129,0,0,0,0,0,0,0,0,0,0,1.46810123237945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07597548359017,1.47969543389547,1.11454013133303,0,0,0.527566204858906,0,0,0,0,0,0,2.58104714242096,0,0,0,0,0,0,0.0373563744531956,0.713617038510635,0,0,0,0,1.55161448162481,0,0,0,0,0,0,0,0,0,0,1.32141113114029,0,0,4.87947394242188,0,0,0,0,0,0,3.57796158453132,0,0,0,0,0,0,0,2.86627163205869,0.255429986744826,0,0,0,0,0,0,0,0,8.70449645595734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20879698878749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0263698563965,0,0,0,0,0,2.18519432045231,0,0,0.353880802681956,0,0,0,0,0,0,0,0,0,0,0.202235945965895,0,0,0,0,0,0.0883574645813085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363124120061176,0,0,0,0,0,0.167693708903583,0,0,0,0,0,0,0,0,1.02810731888671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157273942546761,0,0,0.262342325715461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122402933193278,0,0,0,0,0,0,0.214866950597,0,0,0,0,0,0,0
"8",0,0,0,0.0988922316840271,0,2.39521614473308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474615176199221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223734696294853,0,0,0,0,0,0,0,0,0,0,0,0,0.0084327406786149,0.234875337200501,0,0.133117670907402,0,0,0,0,0,0,0,0,0.0987681581692942,0,0,0,0,1.72459841197555,0,0,0,0,0,0,0,0.20285566280044,0,0,0,0,0,0,0.0249534489372309,0,0,0.0670663913282014,0,0,0,0,0,0.247136761182476,0,0,0,0,0,0,0,0,0.0342687887669551,0,0,0.477480269536293,0,0,0,0,0.190062144280406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801438577036751,0,0,0,0,0,0,0,0,0.0613618016172489,0,0,0,0,0,0,0,0,0,0.013162070348592,0,0,0,0,0,0,0.117821390431164,0,0,0.203586184190222,0.0290854909887758,0,0,0,0,0.333106910679483,0,0,0,0,0,0,0,0,0.170315856073511,0,0,0,0.0755945830077315,0,0,0,0,0,0.0165003989319819,0,0,0,0,0,0,0,0.00117217811773018,0.0404535063257156,0,0,0.0155066711374778,0,0,0,0,0,0,0,0.0417544681455695,0,0,0,0,0,0,0,0,0,0,0,0.00558735180733472,0,0,0.136220977786694,0,0,0,0,0,0,0,0,0,0.244932824386529,0,0,0.0791634092065836,0,0.0914978221349047,0,0.0150579014007604,0,0,0,0,0,0,0,0,0.0442234176404233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109574615975047,0,0.080641068826166,0,0,0,0,0.0291511787832227,0,0,0,0,0,0.00283507323045022,0,0,0,0,0,0,0,0,0.218704986155201,0,0,0.00852374178777162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217130720520249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0.0924279616917278,0,0,0,0.0366037713186949,0,0,0.0152077441175647,0,0,0,0,0,0,0,0,0,0,0,0,0.213732180342972,0,0,0,0,0,0,0,0.0710262496876251,0.156310738731157,0.999375791629228,0.302805853551846,0,0,0,0,0,0.145766886742227,0,0,0,0,0,0,0,0.078838569903964,0,0,0,0,0,0.82094442644101,0,0,0,0.00600952564247229,0,0,0.00816355198090538,0,0,0,0,0,0,0,0,0,0.0764430416819888,0,1.02831082395818,0,0,0.0225272570194452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129366271421065,0,0,0,0,0,0,0,0,0,0,0,0,0.33167086195378,0,0,0.277805873571396,0,0,0,0,0,0,0,0,0,0.109350061521953,0,0,0,0.0903052803019948,0,0,0,0,0.154042763672838,0,0,0,0.195787394300442,0,0,0.447767892702621,0,0,0.330367844516879,0,0,0,0.12620352263994,0,0.0233631238154242,0,0,0,0,0,0,0,0.364659694969304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399866213182858,0.197100277773279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478401458947587,0,0,0,0,0,0,0,0,0.0367680254397734,0,0,0,0,0,0,0,0,0,0,0.883394074936388,0,0,0,0,0,0.00553611264462186,0,0,0,0,0,0,0,0,0,0,0.105810586148595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337149602609087,0,0,0.400045126075691,0.781798484127139,0,0.473614800260584,0,0,0.5304772082072,0,0.0832615727700141,0,0,0,0,0,0,0.0545190860756692,1.47635621936531,0.0857393676594386,0.0202880091711016,0.159144249085313,0,0,0.130265729588391,0,0,0,0.365486507076634,0,0,0,0.709029266750485,1.47625798594097,0,0,0.101131494518931,0.192206050289656,0,0.231239941312873,0.323073521521216,0,0.0022916300550134,0,0,0,0.490257748545438,0,0.104757932131888,0,0.311822245725369,0,0.148100756686345,0.448167316270232,0,0,0,0.182566590728731,0.196955922096947,0,0.0302120788479733,0,0.24332960152961,0,0,0,0.459512383216697,0.350720032220115,0.0616880544974464,0,0,0,0,0,0,0.524152386596074,0.474401333101137,0,0,0,0,0.0830865603591059,0,0,0.149848638635147,0,0,0.212829042761185,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192021390271574,0.390287138179875,0,0,0,0.967514232266701,0,0,0.151279284134105,0,0,0,0,0,0,0.472342483502775,0,0,0,0,0,0.12275671349879,0,0,0,0,0,0,0,0,1.149573639596,0,0,0,0,0,0,0,0,0,0.109222775557294,0,0,0,0.022208875344411,0,0,0,0,0.637792962292787,0,0,0,0,0,0,0,0,0,0.0330733666798009,0,0,0,0,0,0,0.0282645717619644,0.162774686988734,0,0,0,0,0,0,0,0,0.00788979292277042,0,0,0,0.457651355735543,0,0,0,0,0,0,0,0.283414069410967,0.390590861429756,0,0,0,0,0,0,0,0,0,0.329868466687662,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150663777431363,0,0,0,0,1.12514397380987,0,0,0,0,0,0,0,0,0,0,0,0,0.826578295018093,0,0,0,0,0,0,0,0,0,0,0.178679628096926,0,0,0.0746698025022091,0,0,0,0,0.247981845565288,0,0,0,0,0,0,0,0.369007833104013,0,0,0,0,0,0,0,0,0,0,0,0.0773894571648386,0,0,0,0,0,0,0,0,0.307818015012854,0,0,0.085787827194323,0,0,0.245886160369992,0,0,0,0,0,0,0,0,0,0,0.228592756124714,0,0.322592807213248,0.0689674208549525,0,0,0,0,0,0,0,0,0,0,0.0944126562621686,0,0,0,0.160020746134058,0,0,0,0,0,0.834441453176676,0,0,0,0,0,0,0,0,0,0,0,0.404423350988603,0,0.251317708934734,0,0,0,0,0,0,0.106017743307278,0,0,0,0,0.950066964442484,0,0,0,0.332685455589574,0,0,0.0239733178348532,0,0,0,0,0.361339300922273,0,0,0,0,0,0.0674690066306816,0,0,0.539040232772112,0.691887256131124,0,0,0.0956656611013342,0.544681924323564,0,0.242208651355531,0,0.144908304983788,0.189639056336861,0.100241753498741,0.565686177140848,0,0,0,0,0,0,0,0.361635824454624,0,0.443252033019406,0,0.0952256649961112,0,0,0,0,0,0,0,0.245264160310801,0,0,0.160534448621895,0,0.369470799362027,0.232370019749076,0,0,0.816699339434477,0,0,0,0.348821348373702,0.0776107805968178,0,0,0,0,0.0561536189734908
